"ITTER107","Territorio","TIPO_DATO15","Tipo indicatore","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITC1","Piemonte","NMIGRATEAB","saldo migratorio con l'estero (per mille abitanti)","2018","2018",0.5,,
"ITC1","Piemonte","NMIGRATEAB","saldo migratorio con l'estero (per mille abitanti)","2019","2019",3.1,,
"ITC1","Piemonte","NMIGRATEAB","saldo migratorio con l'estero (per mille abitanti)","2020","2020",1.6,,
"ITC1","Piemonte","NMIGRATEOR","saldo migratorio per altro motivo (per mille abitanti)","2019","2019",-2.9,,
"ITC1","Piemonte","NMIGRATEOR","saldo migratorio per altro motivo (per mille abitanti)","2020","2020",-2,,
"ITC1","Piemonte","TMIGRATE","saldo migratorio totale (per mille abitanti)","2002","2002",5.2,,
"ITC1","Piemonte","TMIGRATE","saldo migratorio totale (per mille abitanti)","2003","2003",12.4,,
"ITC1","Piemonte","TMIGRATE","saldo migratorio totale (per mille abitanti)","2004","2004",7.6,,
"ITC1","Piemonte","TMIGRATE","saldo migratorio totale (per mille abitanti)","2005","2005",5.3,,
"ITC1","Piemonte","TMIGRATE","saldo migratorio totale (per mille abitanti)","2006","2006",4.5,,
"ITC1","Piemonte","TMIGRATE","saldo migratorio totale (per mille abitanti)","2007","2007",14.1,,
"ITC1","Piemonte","TMIGRATE","saldo migratorio totale (per mille abitanti)","2008","2008",9.3,,
"ITC1","Piemonte","TMIGRATE","saldo migratorio totale (per mille abitanti)","2009","2009",5.3,,
"ITC1","Piemonte","TMIGRATE","saldo migratorio totale (per mille abitanti)","2010","2010",4.5,,
"ITC1","Piemonte","TMIGRATE","saldo migratorio totale (per mille abitanti)","2011","2011",3.9,,
"ITC1","Piemonte","TMIGRATE","saldo migratorio totale (per mille abitanti)","2012","2012",5.1,,
"ITC1","Piemonte","TMIGRATE","saldo migratorio totale (per mille abitanti)","2013","2013",2.2,,
"ITC1","Piemonte","TMIGRATE","saldo migratorio totale (per mille abitanti)","2014","2014",-0.6,,
"ITC1","Piemonte","TMIGRATE","saldo migratorio totale (per mille abitanti)","2015","2015",0.4,,
"ITC1","Piemonte","TMIGRATE","saldo migratorio totale (per mille abitanti)","2016","2016",1.2,,
"ITC1","Piemonte","TMIGRATE","saldo migratorio totale (per mille abitanti)","2017","2017",0.5,,
"ITC1","Piemonte","TMIGRATE","saldo migratorio totale (per mille abitanti)","2018","2018",0.8,,
"ITC1","Piemonte","TMIGRATE","saldo migratorio totale (per mille abitanti)","2019","2019",1.5,,
"ITC1","Piemonte","TMIGRATE","saldo migratorio totale (per mille abitanti)","2020","2020",0.6,,
"ITC1","Piemonte","GROWTHRATEN","crescita naturale (per mille abitanti)","2002","2002",-3,,
"ITC1","Piemonte","GROWTHRATEN","crescita naturale (per mille abitanti)","2003","2003",-3.4,,
"ITC1","Piemonte","GROWTHRATEN","crescita naturale (per mille abitanti)","2004","2004",-2.1,,
"ITC1","Piemonte","GROWTHRATEN","crescita naturale (per mille abitanti)","2005","2005",-2.6,,
"ITC1","Piemonte","GROWTHRATEN","crescita naturale (per mille abitanti)","2006","2006",-2.2,,
"ITC1","Piemonte","GROWTHRATEN","crescita naturale (per mille abitanti)","2007","2007",-2.1,,
"ITC1","Piemonte","GROWTHRATEN","crescita naturale (per mille abitanti)","2008","2008",-2.2,,
"ITC1","Piemonte","GROWTHRATEN","crescita naturale (per mille abitanti)","2009","2009",-2.4,,
"ITC1","Piemonte","GROWTHRATEN","crescita naturale (per mille abitanti)","2010","2010",-2.4,,
"ITC1","Piemonte","GROWTHRATEN","crescita naturale (per mille abitanti)","2011","2011",-2.6,,
"ITC1","Piemonte","GROWTHRATEN","crescita naturale (per mille abitanti)","2012","2012",-3,,
"ITC1","Piemonte","GROWTHRATEN","crescita naturale (per mille abitanti)","2013","2013",-3.3,,
"ITC1","Piemonte","GROWTHRATEN","crescita naturale (per mille abitanti)","2014","2014",-3.3,,
"ITC1","Piemonte","GROWTHRATEN","crescita naturale (per mille abitanti)","2015","2015",-4.8,,
"ITC1","Piemonte","GROWTHRATEN","crescita naturale (per mille abitanti)","2016","2016",-4.4,,
"ITC1","Piemonte","GROWTHRATEN","crescita naturale (per mille abitanti)","2017","2017",-5.2,,
"ITC1","Piemonte","GROWTHRATEN","crescita naturale (per mille abitanti)","2018","2018",-5.7,,
"ITC1","Piemonte","GROWTHRATEN","crescita naturale (per mille abitanti)","2019","2019",-5.8,,
"ITC1","Piemonte","GROWTHRATEN","crescita naturale (per mille abitanti)","2020","2020",-9,,
"ITC1","Piemonte","GROWTHRATET","tasso di crescita totale (per mille abitanti)","2002","2002",2.2,,
"ITC1","Piemonte","GROWTHRATET","tasso di crescita totale (per mille abitanti)","2003","2003",9.1,,
"ITC1","Piemonte","GROWTHRATET","tasso di crescita totale (per mille abitanti)","2004","2004",5.6,,
"ITC1","Piemonte","GROWTHRATET","tasso di crescita totale (per mille abitanti)","2005","2005",2.7,,
"ITC1","Piemonte","GROWTHRATET","tasso di crescita totale (per mille abitanti)","2006","2006",2.3,,
"ITC1","Piemonte","GROWTHRATET","tasso di crescita totale (per mille abitanti)","2007","2007",12.1,,
"ITC1","Piemonte","GROWTHRATET","tasso di crescita totale (per mille abitanti)","2008","2008",7.1,,
"ITC1","Piemonte","GROWTHRATET","tasso di crescita totale (per mille abitanti)","2009","2009",2.8,,
"ITC1","Piemonte","GROWTHRATET","tasso di crescita totale (per mille abitanti)","2010","2010",2.1,,
"ITC1","Piemonte","GROWTHRATET","tasso di crescita totale (per mille abitanti)","2011","2011",1.3,,
"ITC1","Piemonte","GROWTHRATET","tasso di crescita totale (per mille abitanti)","2012","2012",2.1,,
"ITC1","Piemonte","GROWTHRATET","tasso di crescita totale (per mille abitanti)","2013","2013",-1.1,,
"ITC1","Piemonte","GROWTHRATET","tasso di crescita totale (per mille abitanti)","2014","2014",-3.9,,
"ITC1","Piemonte","GROWTHRATET","tasso di crescita totale (per mille abitanti)","2015","2015",-4.4,,
"ITC1","Piemonte","GROWTHRATET","tasso di crescita totale (per mille abitanti)","2016","2016",-3.2,,
"ITC1","Piemonte","GROWTHRATET","tasso di crescita totale (per mille abitanti)","2017","2017",-4.7,,
"ITC1","Piemonte","GROWTHRATET","tasso di crescita totale (per mille abitanti)","2018","2018",-4.9,,
"ITC1","Piemonte","GROWTHRATET","tasso di crescita totale (per mille abitanti)","2019","2019",-4.3,,
"ITC1","Piemonte","GROWTHRATET","tasso di crescita totale (per mille abitanti)","2020","2020",-8.4,,
"ITC1","Piemonte","TFR","numero medio di figli per donna","2002","2002",1.2,,
"ITC1","Piemonte","TFR","numero medio di figli per donna","2003","2003",1.22,,
"ITC1","Piemonte","TFR","numero medio di figli per donna","2004","2004",1.26,,
"ITC1","Piemonte","TFR","numero medio di figli per donna","2005","2005",1.27,,
"ITC1","Piemonte","TFR","numero medio di figli per donna","2006","2006",1.32,,
"ITC1","Piemonte","TFR","numero medio di figli per donna","2007","2007",1.37,,
"ITC1","Piemonte","TFR","numero medio di figli per donna","2008","2008",1.41,,
"ITC1","Piemonte","TFR","numero medio di figli per donna","2009","2009",1.42,,
"ITC1","Piemonte","TFR","numero medio di figli per donna","2010","2010",1.42,,
"ITC1","Piemonte","TFR","numero medio di figli per donna","2011","2011",1.43,,
"ITC1","Piemonte","TFR","numero medio di figli per donna","2012","2012",1.43,,
"ITC1","Piemonte","TFR","numero medio di figli per donna","2013","2013",1.41,,
"ITC1","Piemonte","TFR","numero medio di figli per donna","2014","2014",1.41,,
"ITC1","Piemonte","TFR","numero medio di figli per donna","2015","2015",1.37,,
"ITC1","Piemonte","TFR","numero medio di figli per donna","2016","2016",1.36,,
"ITC1","Piemonte","TFR","numero medio di figli per donna","2017","2017",1.35,,
"ITC1","Piemonte","TFR","numero medio di figli per donna","2018","2018",1.3,,
"ITC1","Piemonte","TFR","numero medio di figli per donna","2019","2019",1.27,,
"ITC1","Piemonte","TFR","numero medio di figli per donna","2020","2020",1.25,,
"ITC1","Piemonte","MEANAGECH","età media della madre al parto","2002","2002",30.7,,
"ITC1","Piemonte","MEANAGECH","età media della madre al parto","2003","2003",31,,
"ITC1","Piemonte","MEANAGECH","età media della madre al parto","2004","2004",30.8,,
"ITC1","Piemonte","MEANAGECH","età media della madre al parto","2005","2005",31,,
"ITC1","Piemonte","MEANAGECH","età media della madre al parto","2006","2006",30.9,,
"ITC1","Piemonte","MEANAGECH","età media della madre al parto","2007","2007",31,,
"ITC1","Piemonte","MEANAGECH","età media della madre al parto","2008","2008",31.1,,
"ITC1","Piemonte","MEANAGECH","età media della madre al parto","2009","2009",31.1,,
"ITC1","Piemonte","MEANAGECH","età media della madre al parto","2010","2010",31.2,,
"ITC1","Piemonte","MEANAGECH","età media della madre al parto","2011","2011",31.3,,
"ITC1","Piemonte","MEANAGECH","età media della madre al parto","2012","2012",31.4,,
"ITC1","Piemonte","MEANAGECH","età media della madre al parto","2013","2013",31.5,,
"ITC1","Piemonte","MEANAGECH","età media della madre al parto","2014","2014",31.5,,
"ITC1","Piemonte","MEANAGECH","età media della madre al parto","2015","2015",31.7,,
"ITC1","Piemonte","MEANAGECH","età media della madre al parto","2016","2016",31.8,,
"ITC1","Piemonte","MEANAGECH","età media della madre al parto","2017","2017",31.8,,
"ITC1","Piemonte","MEANAGECH","età media della madre al parto","2018","2018",31.9,,
"ITC1","Piemonte","MEANAGECH","età media della madre al parto","2019","2019",32.1,,
"ITC1","Piemonte","MEANAGECH","età media della madre al parto","2020","2020",32.2,,
"ITC1","Piemonte","LIFEEXP0M","speranza di vita alla nascita - maschi","2002","2002",76.8,,
"ITC1","Piemonte","LIFEEXP0M","speranza di vita alla nascita - maschi","2003","2003",76.8,,
"ITC1","Piemonte","LIFEEXP0M","speranza di vita alla nascita - maschi","2004","2004",77.6,,
"ITC1","Piemonte","LIFEEXP0M","speranza di vita alla nascita - maschi","2005","2005",77.9,,
"ITC1","Piemonte","LIFEEXP0M","speranza di vita alla nascita - maschi","2006","2006",78.2,,
"ITC1","Piemonte","LIFEEXP0M","speranza di vita alla nascita - maschi","2007","2007",78.5,,
"ITC1","Piemonte","LIFEEXP0M","speranza di vita alla nascita - maschi","2008","2008",78.6,,
"ITC1","Piemonte","LIFEEXP0M","speranza di vita alla nascita - maschi","2009","2009",78.8,,
"ITC1","Piemonte","LIFEEXP0M","speranza di vita alla nascita - maschi","2010","2010",79.2,,
"ITC1","Piemonte","LIFEEXP0M","speranza di vita alla nascita - maschi","2011","2011",79.4,,
"ITC1","Piemonte","LIFEEXP0M","speranza di vita alla nascita - maschi","2012","2012",79.8,,
"ITC1","Piemonte","LIFEEXP0M","speranza di vita alla nascita - maschi","2013","2013",79.9,,
"ITC1","Piemonte","LIFEEXP0M","speranza di vita alla nascita - maschi","2014","2014",80.3,,
"ITC1","Piemonte","LIFEEXP0M","speranza di vita alla nascita - maschi","2015","2015",79.9,,
"ITC1","Piemonte","LIFEEXP0M","speranza di vita alla nascita - maschi","2016","2016",80.6,,
"ITC1","Piemonte","LIFEEXP0M","speranza di vita alla nascita - maschi","2017","2017",80.4,,
"ITC1","Piemonte","LIFEEXP0M","speranza di vita alla nascita - maschi","2018","2018",80.5,,
"ITC1","Piemonte","LIFEEXP0M","speranza di vita alla nascita - maschi","2019","2019",80.7,,
"ITC1","Piemonte","LIFEEXP0M","speranza di vita alla nascita - maschi","2020","2020",79.1,,
"ITC1","Piemonte","LIFEEXP65M","speranza di vita a 65 anni - maschi","2002","2002",16.7,,
"ITC1","Piemonte","LIFEEXP65M","speranza di vita a 65 anni - maschi","2003","2003",16.6,,
"ITC1","Piemonte","LIFEEXP65M","speranza di vita a 65 anni - maschi","2004","2004",17.2,,
"ITC1","Piemonte","LIFEEXP65M","speranza di vita a 65 anni - maschi","2005","2005",17.3,,
"ITC1","Piemonte","LIFEEXP65M","speranza di vita a 65 anni - maschi","2006","2006",17.5,,
"ITC1","Piemonte","LIFEEXP65M","speranza di vita a 65 anni - maschi","2007","2007",17.6,,
"ITC1","Piemonte","LIFEEXP65M","speranza di vita a 65 anni - maschi","2008","2008",17.7,,
"ITC1","Piemonte","LIFEEXP65M","speranza di vita a 65 anni - maschi","2009","2009",17.9,,
"ITC1","Piemonte","LIFEEXP65M","speranza di vita a 65 anni - maschi","2010","2010",18.1,,
"ITC1","Piemonte","LIFEEXP65M","speranza di vita a 65 anni - maschi","2011","2011",18.3,,
"ITC1","Piemonte","LIFEEXP65M","speranza di vita a 65 anni - maschi","2012","2012",18.4,,
"ITC1","Piemonte","LIFEEXP65M","speranza di vita a 65 anni - maschi","2013","2013",18.6,,
"ITC1","Piemonte","LIFEEXP65M","speranza di vita a 65 anni - maschi","2014","2014",18.9,,
"ITC1","Piemonte","LIFEEXP65M","speranza di vita a 65 anni - maschi","2015","2015",18.5,,
"ITC1","Piemonte","LIFEEXP65M","speranza di vita a 65 anni - maschi","2016","2016",19,,
"ITC1","Piemonte","LIFEEXP65M","speranza di vita a 65 anni - maschi","2017","2017",18.9,,
"ITC1","Piemonte","LIFEEXP65M","speranza di vita a 65 anni - maschi","2018","2018",19,,
"ITC1","Piemonte","LIFEEXP65M","speranza di vita a 65 anni - maschi","2019","2019",19.2,,
"ITC1","Piemonte","LIFEEXP65M","speranza di vita a 65 anni - maschi","2020","2020",17.6,,
"ITC1","Piemonte","LIFEEXP0F","speranza di vita alla nascita - femmine","2002","2002",82.7,,
"ITC1","Piemonte","LIFEEXP0F","speranza di vita alla nascita - femmine","2003","2003",82.6,,
"ITC1","Piemonte","LIFEEXP0F","speranza di vita alla nascita - femmine","2004","2004",83.5,,
"ITC1","Piemonte","LIFEEXP0F","speranza di vita alla nascita - femmine","2005","2005",83.4,,
"ITC1","Piemonte","LIFEEXP0F","speranza di vita alla nascita - femmine","2006","2006",83.6,,
"ITC1","Piemonte","LIFEEXP0F","speranza di vita alla nascita - femmine","2007","2007",83.9,,
"ITC1","Piemonte","LIFEEXP0F","speranza di vita alla nascita - femmine","2008","2008",83.7,,
"ITC1","Piemonte","LIFEEXP0F","speranza di vita alla nascita - femmine","2009","2009",83.9,,
"ITC1","Piemonte","LIFEEXP0F","speranza di vita alla nascita - femmine","2010","2010",84.3,,
"ITC1","Piemonte","LIFEEXP0F","speranza di vita alla nascita - femmine","2011","2011",84.5,,
"ITC1","Piemonte","LIFEEXP0F","speranza di vita alla nascita - femmine","2012","2012",84.5,,
"ITC1","Piemonte","LIFEEXP0F","speranza di vita alla nascita - femmine","2013","2013",84.7,,
"ITC1","Piemonte","LIFEEXP0F","speranza di vita alla nascita - femmine","2014","2014",85,,
"ITC1","Piemonte","LIFEEXP0F","speranza di vita alla nascita - femmine","2015","2015",84.5,,
"ITC1","Piemonte","LIFEEXP0F","speranza di vita alla nascita - femmine","2016","2016",85,,
"ITC1","Piemonte","LIFEEXP0F","speranza di vita alla nascita - femmine","2017","2017",84.7,,
"ITC1","Piemonte","LIFEEXP0F","speranza di vita alla nascita - femmine","2018","2018",84.9,,
"ITC1","Piemonte","LIFEEXP0F","speranza di vita alla nascita - femmine","2019","2019",85.2,,
"ITC1","Piemonte","LIFEEXP0F","speranza di vita alla nascita - femmine","2020","2020",83.9,,
"ITC1","Piemonte","LIFEEXP65F","speranza di vita a 65 anni - femmine","2002","2002",20.6,,
"ITC1","Piemonte","LIFEEXP65F","speranza di vita a 65 anni - femmine","2003","2003",20.4,,
"ITC1","Piemonte","LIFEEXP65F","speranza di vita a 65 anni - femmine","2004","2004",21.3,,
"ITC1","Piemonte","LIFEEXP65F","speranza di vita a 65 anni - femmine","2005","2005",21.1,,
"ITC1","Piemonte","LIFEEXP65F","speranza di vita a 65 anni - femmine","2006","2006",21.4,,
"ITC1","Piemonte","LIFEEXP65F","speranza di vita a 65 anni - femmine","2007","2007",21.5,,
"ITC1","Piemonte","LIFEEXP65F","speranza di vita a 65 anni - femmine","2008","2008",21.3,,
"ITC1","Piemonte","LIFEEXP65F","speranza di vita a 65 anni - femmine","2009","2009",21.4,,
"ITC1","Piemonte","LIFEEXP65F","speranza di vita a 65 anni - femmine","2010","2010",21.8,,
"ITC1","Piemonte","LIFEEXP65F","speranza di vita a 65 anni - femmine","2011","2011",22,,
"ITC1","Piemonte","LIFEEXP65F","speranza di vita a 65 anni - femmine","2012","2012",21.9,,
"ITC1","Piemonte","LIFEEXP65F","speranza di vita a 65 anni - femmine","2013","2013",22.1,,
"ITC1","Piemonte","LIFEEXP65F","speranza di vita a 65 anni - femmine","2014","2014",22.3,,
"ITC1","Piemonte","LIFEEXP65F","speranza di vita a 65 anni - femmine","2015","2015",21.8,,
"ITC1","Piemonte","LIFEEXP65F","speranza di vita a 65 anni - femmine","2016","2016",22.3,,
"ITC1","Piemonte","LIFEEXP65F","speranza di vita a 65 anni - femmine","2017","2017",22,,
"ITC1","Piemonte","LIFEEXP65F","speranza di vita a 65 anni - femmine","2018","2018",22.2,,
"ITC1","Piemonte","LIFEEXP65F","speranza di vita a 65 anni - femmine","2019","2019",22.4,,
"ITC1","Piemonte","LIFEEXP65F","speranza di vita a 65 anni - femmine","2020","2020",21.1,,
"ITC1","Piemonte","POP014","popolazione 0-14 anni al 1° gennaio (valori percentuali) - al 1° gennaio","2002","2002",12.1,,
"ITC1","Piemonte","POP014","popolazione 0-14 anni al 1° gennaio (valori percentuali) - al 1° gennaio","2003","2003",12.2,,
"ITC1","Piemonte","POP014","popolazione 0-14 anni al 1° gennaio (valori percentuali) - al 1° gennaio","2004","2004",12.2,,
"ITC1","Piemonte","POP014","popolazione 0-14 anni al 1° gennaio (valori percentuali) - al 1° gennaio","2005","2005",12.3,,
"ITC1","Piemonte","POP014","popolazione 0-14 anni al 1° gennaio (valori percentuali) - al 1° gennaio","2006","2006",12.5,,
"ITC1","Piemonte","POP014","popolazione 0-14 anni al 1° gennaio (valori percentuali) - al 1° gennaio","2007","2007",12.6,,
"ITC1","Piemonte","POP014","popolazione 0-14 anni al 1° gennaio (valori percentuali) - al 1° gennaio","2008","2008",12.7,,
"ITC1","Piemonte","POP014","popolazione 0-14 anni al 1° gennaio (valori percentuali) - al 1° gennaio","2009","2009",12.8,,
"ITC1","Piemonte","POP014","popolazione 0-14 anni al 1° gennaio (valori percentuali) - al 1° gennaio","2010","2010",12.9,,
